0.0,375.0,306.0,66.0,20.0,35.0|0.0,74.0,382.0,80.0,25.0,42.0
0.0,380.0,305.0,69.0,21.0,35.0|0.0,72.0,385.0,82.0,26.0,43.0
0.0,385.0,289.0,67.0,20.0,37.0|0.0,76.0,385.0,81.0,25.0,40.0
0.0,383.0,278.0,68.0,21.0,37.0|0.0,74.0,367.0,80.0,25.0,45.0
0.0,388.0,254.0,68.0,21.0,35.0|0.0,85.0,338.0,80.0,25.0,40.0
0.0,395.0,229.0,68.0,21.0,35.0|0.0,96.0,320.0,81.0,26.0,40.0
0.0,393.0,205.0,68.0,21.0,34.0|0.0,102.0,292.0,82.0,27.0,38.0
0.0,402.0,182.0,68.0,21.0,34.0|0.0,111.0,280.0,83.0,26.0,38.5
0.0,407.0,172.0,68.0,21.0,33.0|0.0,121.0,273.0,82.0,26.0,37.5
0.0,411.0,166.0,68.0,21.0,33.0|0.0,134.0,282.0,81.0,26.0,36.5
0.0,416.0,155.0,68.0,21.0,32.0|0.0,149.0,274.0,81.0,26.0,35.5
0.0,427.0,137.0,68.0,21.0,32.0|0.0,161.0,260.0,82.0,27.0,34.5
0.0,436.0,134.0,68.0,21.0,31.0|0.0,171.0,254.0,84.0,26.0,34.5
0.0,441.0,128.0,68.0,21.0,30.0|0.0,176.0,251.0,84.0,26.0,34.5
