0.0,371.0,312.0,71.0,25.0,36.0|0.0,80.0,379.0,85.0,30.0,25.0
0.0,368.0,310.0,70.0,24.0,36.0|0.0,79.0,378.0,85.0,30.0,25.0
0.0,380.0,300.0,71.0,24.5,35.0|0.0,79.0,378.0,85.0,30.0,24.0
0.0,374.0,285.0,70.0,24.5,35.0|0.0,77.0,369.0,85.0,30.0,24.0
0.0,381.0,261.0,72.0,25.0,34.0|0.0,77.0,357.0,85.0,30.0,24.0
0.0,390.0,236.0,71.0,24.5,34.0|0.0,93.0,330.0,85.0,30.0,24.0
0.0,394.0,214.0,72.0,25.0,33.0|0.0,101.0,308.0,88.0,30.0,24.0
0.0,399.0,185.0,71.0,25.0,33.0|0.0,111.0,289.0,88.0,30.0,23.0
0.0,403.0,176.0,71.0,24.0,32.0|0.0,117.0,272.0,85.0,30.0,23.0
0.0,406.0,173.0,72.0,25.0,32.0|0.0,130.0,268.0,88.0,30.0,23.0
0.0,418.0,160.0,70.0,24.0,30.0|0.0,139.0,274.0,88.0,30.0,23.0
0.0,427.0,146.0,70.0,24.0,30.0|0.0,155.0,264.0,88.0,30.0,23.0
0.0,437.0,134.0,71.0,25.0,29.0|0.0,166.0,251.0,88.0,30.0,22.0
0.0,438.0,134.0,70.0,24.0,29.0|0.0,177.0,243.0,85.0,30.0,22.0
